id,ref,subtitle,creator_name,creator_url,total_bytes,url,last_updated,download_count,is_private,is_featured,license_name,description,owner_name,owner_ref,kernel_count,title,topic_count,view_count,vote_count,current_version_number,usability_rating,tags,files,versions
2660706,notshrirang/spotify-million-song-dataset,"A dataset containing songs, artists names, link to song and lyrics",Shrirang Mahajan,notshrirang,21735868,https://www.kaggle.com/datasets/notshrirang/spotify-million-song-dataset,2022-11-21T16:48:45.000000,21448,false,false,CC0: Public Domain,,Shrirang Mahajan,notshrirang,25,Spotify Million Song Dataset,0,111648,141,1,1.0,"music, beginner, nlp, recommender systems, text",,
795088,kailic/bts-lyrics,Dataset of BTS songs' information and lyrics (in English),kaili,kailic,417997,https://www.kaggle.com/datasets/kailic/bts-lyrics,2025-07-31T08:47:51.000000,4441,false,false,CC0: Public Domain,,kaili,kailic,8,BTS Lyrics and Spotify Data,0,23618,74,16,1.0,"popular culture, arts and entertainment, music, text, korea",,
7090023,devdope/900k-spotify,A Dataset for Music Recommendation and Emotion Analysis (500K+ Tracks),DevDope,devdope,1078959401,https://www.kaggle.com/datasets/devdope/900k-spotify,2025-05-15T00:50:25.000000,5133,false,false,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),,DevDope,devdope,3,"🎧 500K+ Spotify Songs with Lyrics,Emotions & More",0,21145,69,3,1.0,"arts and entertainment, music, education, text generation",,
5458328,bwandowando/spotify-songs-with-attributes-and-lyrics,Song attributes and lyrics with timestamps for 960K Spotify songs,BwandoWando,bwandowando,937835167,https://www.kaggle.com/datasets/bwandowando/spotify-songs-with-attributes-and-lyrics,2025-02-16T07:31:27.000000,2475,false,false,CC BY-NC-SA 4.0,,BwandoWando,bwandowando,2,🎹 960K Spotify Songs With Lyrics data 🎵,0,12264,62,19,1.0,"research, music, nlp, tabular",,
3305794,suraj520/music-dataset-song-information-and-lyrics,A Comprehensive Collection of Songs with Metadata and Lyrics for Research & Dev,Suraj,suraj520,1992670,https://www.kaggle.com/datasets/suraj520/music-dataset-song-information-and-lyrics,2023-05-22T22:50:44.000000,2529,false,false,CC0: Public Domain,,Suraj,suraj520,2,Music Dataset: Song Information and Lyrics,0,17143,62,1,1.0,"music, intermediate, advanced, text mining, text, audio synthesis",,
4342763,joebeachcapital/57651-spotify-songs,"Almost 60000 rows and 4 columns of artist, song name, link, and lyrics.",Joakim Arvidsson,joebeachcapital,21501186,https://www.kaggle.com/datasets/joebeachcapital/57651-spotify-songs,2024-01-23T06:48:36.000000,2763,false,false,"Database: Open Database, Contents: Database Contents",,Joakim Arvidsson,joebeachcapital,10,60000 Spotify Songs,0,19388,51,1,1.0,"arts and entertainment, music, artificial intelligence, nlp, text classification",,
6712883,rishabhpancholi1302/spotify-most-popular-songs-dataset,"Unveiling Spotify’s Top Hits: Audio, Lyrics & Insights for Music Analysis",RishabhPancholi1302,rishabhpancholi1302,3707341,https://www.kaggle.com/datasets/rishabhpancholi1302/spotify-most-popular-songs-dataset,2025-02-21T10:45:03.000000,2528,false,false,Apache 2.0,,RishabhPancholi1302,rishabhpancholi1302,5,Spotify Most Popular Songs Dataset,0,12060,49,1,0.8235294,"arts and entertainment, music, nlp, clustering, k-means, text",,
3938290,joebeachcapital/taylor-swift-all-songs-and-albums,Lyrics & audio features from the Spotify API for all Taylor's studio album songs,Joakim Arvidsson,joebeachcapital,25327,https://www.kaggle.com/datasets/joebeachcapital/taylor-swift-all-songs-and-albums,2024-06-17T06:09:09.000000,1517,false,false,"Database: Open Database, Contents: Database Contents",,Joakim Arvidsson,joebeachcapital,1,Taylor Swift - All Songs & Albums,0,9757,45,2,1.0,"arts and entertainment, celebrities, music, nlp, text classification",,
