id,ref,subtitle,creator_name,creator_url,total_bytes,url,last_updated,download_count,is_private,is_featured,license_name,description,owner_name,owner_ref,kernel_count,title,topic_count,view_count,vote_count,current_version_number,usability_rating,tags,files,versions
3938173,joebeachcapital/30000-spotify-songs,"Almost 30,000 Spotify songs from the Spotify API",Joakim Arvidsson,joebeachcapital,3155689,https://www.kaggle.com/datasets/joebeachcapital/30000-spotify-songs,2023-11-01T06:06:43.000000,31715,false,false,"Database: Open Database, Contents: Database Contents",,Joakim Arvidsson,joebeachcapital,84,30000 Spotify Songs,0,155445,396,2,1.0,"music, nlp, data visualization, classification, text",,
4083552,thedevastator/spotify-tracks-genre-dataset,Audio features of tracks across diverse genres,The Devastator,thedevastator,8571539,https://www.kaggle.com/datasets/thedevastator/spotify-tracks-genre-dataset,2023-11-30T04:25:48.000000,8555,false,false,CC0: Public Domain,,The Devastator,thedevastator,8,Spotify Tracks Genre ,0,38131,103,1,1.0,"music, data visualization",,
3431702,amitanshjoshi/spotify-1million-tracks,Spotify 1 million tracks dataset,Amitansh joshi,amitanshjoshi,80841459,https://www.kaggle.com/datasets/amitanshjoshi/spotify-1million-tracks,2023-06-21T12:27:55.000000,8923,false,false,"Database: Open Database, Contents: © Original Authors",,Amitansh joshi,amitanshjoshi,26,Spotify_1Million_Tracks,0,40964,102,1,1.0,"music, sampling, multiclass classification, regression",,
2978459,amaanansari09/most-streamed-songs-all-time,Most Streamed Songs of All time on Spotify,Amaan Ansari,amaanansari09,8654,https://www.kaggle.com/datasets/amaanansari09/most-streamed-songs-all-time,2023-03-08T10:56:24.000000,5528,false,false,CC0: Public Domain,,Amaan Ansari,amaanansari09,8,Most Streamed Songs (All Time),0,30948,100,1,1.0,"music, exploratory data analysis, tabular, audio classification, feature extraction",,
4200899,tonygordonjr/spotify-dataset-2023,Spotify data for all the music & data lovers,Tony Gordon Jr.,tonygordonjr,101062584,https://www.kaggle.com/datasets/tonygordonjr/spotify-dataset-2023,2023-12-20T23:37:29.000000,6137,false,false,Other (specified in description),,Tony Gordon Jr.,tonygordonjr,8,Spotify Dataset 2023,0,26272,54,2,1.0,"music, engineering, beginner, exploratory data analysis, bigquery",,
